"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3573","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_18090","major facilitator subfamily transporter protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3576","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_18050","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3577","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_18040","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3579","probable carbohydrate kinase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_18010","glycerol kinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3580","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17990","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3581","glycerol uptake facilitator protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17980","glycerol uptake facilitator protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3583","glycerol-3-phosphate regulon repressor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17940","glycerol-3-phosphate regulon repressor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3584","glycerol-3-phosphate dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17930","glycerol-3-phosphate dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3588","probable porin","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17890","porin",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3590","probable hydroxyacyl-CoA dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17860","3-hydroxyacyl-CoA dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3591","probable enoyl-CoA hydratase/isomerase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17850","enoyl-CoA hydratase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17760","methylated-DNA--protein-cysteine methyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3597","probable amino acid permease","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17740","amino acid ABC transporter permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3599","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17720","LuxR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3600","RpmJ2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17710","RpmJ2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3602","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17690","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3605","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17660","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3607","polyamine transport protein PotA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17640","polyamine transport protein PotA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3608","polyamine transport protein PotB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17630","polyamine transport protein PotB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3611","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17600","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3613","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17580","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3615","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17550","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3616","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17540","recombination regulator RecX",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3618","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17520","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3621","ferredoxin I","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17490","ferredoxin I",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3622","sigma factor RpoS","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17480","RNA polymerase sigma factor RpoS",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3624","L-isoaspartate protein carboxylmethyltransferase type II","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17460","protein-L-isoaspartate O-methyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3628","putative esterase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17410","esterase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3629","alcohol dehydrogenase class III","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17400","alcohol dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3630","glutathione-dependent formaldehyde neutralization regulator GfnR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17380","glutathione-dependent formaldehyde neutralization regulator GfnR",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3636","2-dehydro-3-deoxyphosphooctonate aldolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17310","2-dehydro-3-deoxyphosphooctonate aldolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3639","acetyl-coenzyme A carboxylase carboxyl transferase (alpha subunit)","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17270","acetyl-CoA carboxylase carboxyltransferase subunit alpha",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3640","DNA polymerase III, alpha chain","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17260","DNA polymerase III subunit alpha",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3641","probable amino acid permease","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17250","amino acid permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3642","ribonuclease HII","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17230","ribonuclease HII",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3649","MucP","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17140","membrane-associated zinc metalloprotease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3650","1-deoxy-d-xylulose 5-phosphate reductoisomerase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17130","1-deoxy-D-xylulose 5-phosphate reductoisomerase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3653","ribosome recycling factor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17100","ribosome recycling factor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3657","methionine aminopeptidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17050","methionine aminopeptidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3661","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_17000","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3664","putative glutathione-dependent thiol reductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16970","arsenate reductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3665","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16960","amino acid transporter LysE",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3666","tetrahydrodipicolinate succinylase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16950","tetrahydrodipicolinate succinylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3667","probable pyridoxal-phosphate dependent enzyme","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16930","pyridoxal-phosphate dependent protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3669","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16910","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3670","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16890","auxiliary component of ABC transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3671","probable permease of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16880","ABC transporter permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3672","probable ATP-binding component of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16870","ABC transporter ATP-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3673","glycerol-3-phosphate acyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16860","glycerol-3-phosphate acyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3675","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16830","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3676","MexK","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16820","efflux transmembrane protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3680","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16770","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3681","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16750","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3685","YeaZ","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16710","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3688","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16680","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3690","probable metal-transporting P-type ATPase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16660","metal-transporting P-type ATPase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3691","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16640","lipoprotein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3692","Lipotoxon F, LptF","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16630","outer membrane protein, OmpA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3694","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16610","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3695","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16600","alpha/beta hydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3697","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16580","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3700","lysyl-tRNA synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16530","lysyl-tRNA synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3702","WspR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16500","two-component response regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3705","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16460","CheW domain-containing protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3707","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16440","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3709","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16410","MFS transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3711","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16380","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3714","probable two-component response regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16350","two-component response regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3716","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16330","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3718","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16310","MFS permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3720","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16290","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3724","elastase LasB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16250","elastase LasB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3725","single-stranded-DNA-specific exonuclease RecJ","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16220","single-stranded-DNA-specific exonuclease RecJ",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3727","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16200","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3729","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16180","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3733","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16130","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3734","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16100","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3737","thiol:disulfide interchange protein DsbC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16050","thiol:disulfide interchange protein DsbC",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3739","probable sodium/hydrogen antiporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16030","sodium/hydrogen antiporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3740","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16020","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3741","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_16010","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3744","16S rRNA processing protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15980","16S rRNA-processing protein RimM",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3745","30S ribosomal protein S16","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15970","30S ribosomal protein S16",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3746","signal recognition particle protein Ffh","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15960","signal recognition particle protein Ffh",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3747","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15940","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3749","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15920","major facilitator transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3751","phosphoribosylglycinamide formyltransferase 2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15890","phosphoribosylglycinamide formyltransferase 2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3752","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15880","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3754","NUDIX hydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15860","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3757","Transcriptional regulator of N-Acetylglucosamine catabolism operon","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15830","GntR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3758","probable N-acetylglucosamine-6-phosphate deacetylase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15820","N-acetylglucosamine-6-phosphate deacetylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3759","probable aminotransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15810","aminotransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3761","N-Acetyl-D-Glucosamine phosphotransferase system transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15780","PTS system N-acetylglucosamine-specific IIBC component",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3762","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15770","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3764","lytic transglycosylase, MltF","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15720","transglycosylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3765","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15710","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3766","probable aromatic amino acid transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15700","amino acid permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3768","probable metallo-oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15670","metallo-oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3769","GMP synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15340","GMP synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3770","inosine-5'-monophosphate dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15310","inosine 5'-monophosphate dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3772","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15280","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3774","histone deacetylase-like amidohydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15260","acetylpolyamine aminohydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3775","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15250","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3776","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15240","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3778","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15210","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3781","probable transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15180","transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3782","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15150","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3783","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15140","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3784","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15130","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3785","putative copper binding protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15120","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3789","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15080","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3791","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15050","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3793","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15020","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3795","probable oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14990","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3799","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14930","GTP-binding protein EngA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3800","BamB, component of beta-Barrel Assembly Machine","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14910","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3806","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14830","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3809","ferredoxin [2Fe-2S]","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14800","ferredoxin 2Fe-2S",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3810","heat shock protein HscA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14780","chaperone protein HscA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3812","probable iron-binding protein IscA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14750","iron-binding protein IscA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3813","probable iron-binding protein IscU","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14740","scaffold protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3815","IscR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14710","Rrf2 family protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3821","secretion protein SecD","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14630","preprotein translocase subunit SecD",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3823","queuine tRNA-ribosyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14600","queuine tRNA-ribosyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3824","S-adenosylmethionine:trna ribosyltransferase-isomerase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14590","S-adenosylmethionine--tRNA ribosyltransferase-isomerase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3829","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14490","hydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3831","leucine aminopeptidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14470","leucyl aminopeptidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3832","DNA polymerase III, chi subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14460","DNA polymerase III subunit chi",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3834","valyl-tRNA synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14440","valyl-tRNA synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3835","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14430","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3837","probable permease of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14380","ABC transporter permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3838","probable ATP-binding component of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14370","ABC-transporter ATP-binding component",""
